Dashboard;Tegel;Indicator;Eenheid;Periode;gebied / dimensie;Waarde;Bron;Omschrijving
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2008";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2008";"Nederland";"5";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2008";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2009";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2009";"Nederland";"4,9";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2009";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2009";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2009";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2010";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2010";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2010";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"feb 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mrt 2011";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"apr 2011";"Nederland";"x";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"mei 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jun 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jul 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"aug 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"sep 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"okt 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"nov 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"dec 2011";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
"";"Hypotheekrente > 5 jaar vast";"Hypotheekrente > 5 jaar";"%, {get: base-item}";"jan 2012";"Nederland";"4,8";"ECB, bewerking www.berekenhet.nl";"";
